"","PointName","DaysAfterN","BACS.PA","AREA","Route","Observer","TIME","Temp","Wind","Cloud","pcode","dsb"
"20.868","L12",5972,0,0,"LK",5,353,61,1,2,"20","32"
"21.879","L14",3042,0,0,"LK",4,531,69,2,0,"21","62"
"21.880","L14",3044,0,0,"LK",4,497,63,0,10,"21","64"
"21.881","L14",3052,0,0,"LK",4,518,65,0,100,"21","72"
"21.882","L14",3400,0,0,"LK",4,547,64,6,60,"21","420"
"21.883","L14",3402,0,0,"LK",4,590,68,0,0,"21","422"
"21.884","L14",3408,0,0,"LK",4,504,55,0,0,"21","428"
"21.885","L14",3771,0,0,"LK",4,539,68,2,0,"21","262"
"21.886","L14",3773,0,0,"LK",4,470,60,3,100,"21","264"
"21.887","L14",3779,0,0,"LK",4,519,70,1,90,"21","270"
"21.888","L14",4134,0,0,"LK",4,524,70,3,0,"21","625"
"21.889","L14",4136,0,0,"LK",4,511,52,4,0,"21","627"
"21.890","L14",4141,0,0,"LK",4,487,74,1,90,"21","632"
"21.891","L14",4499,0,0,"LK",4,465,72,0,100,"21","36"
"21.892","L14",4505,0,0,"LK",11,589,75,5,10,"21","42"
"21.893","L14",4506,0,0,"LK",4,581,76,0,75,"21","43"
"21.895","L14",4871,0,0,"LK",16,439,66,7,75,"21","408"
"21.896","L14",4872,0,0,"LK",16,415,65,0,0,"21","409"
"21.897","L14",5227,0,0,"LK",11,434,48,5,100,"21","764"
"21.898","L14",5229,0,0,"LK",16,429,60,1,100,"21","766"
"21.899","L14",5235,0,0,"LK",4,425,60,0,100,"21","772"
"21.900","L14",5593,0,0,"LK",4,424,45,0,0,"21","1130"
"21.901","L14",5594,0,0,"LK",13,380,49,1,5,"21","1131"
"21.902","L14",5597,0,0,"LK",12,420,67,0,80,"21","1134"
"22.915","L16",3042,0,0,"LK",4,577,73,1,0,"22","1"
"22.916","L16",3044,1,0,"LK",4,475,62,3,10,"22","1"
"22.917","L16",3052,0,0,"LK",4,550,66,1,100,"22","1"
"22.918","L16",3400,0,0,"LK",4,573,68,7,45,"22","1"
"22.919","L16",3402,1,0,"LK",4,505,66,0,0,"22","1"
"22.920","L16",3408,0,0,"LK",4,526,58,1,0,"22","1"
"22.921","L16",3771,1,0,"LK",4,571,70,1,2,"22","1"
"22.922","L16",3773,1,0,"LK",4,490,60,4,100,"22","1"
"22.923","L16",3779,1,0,"LK",4,545,72,0,85,"22","1"
"22.924","L16",4134,0,0,"LK",4,552,72,5,0,"22","1"
"22.925","L16",4136,0,0,"LK",4,483,51,3,0,"22","1"
"22.926","L16",4141,0,0,"LK",4,518,76,2,90,"22","1"
"22.927","L16",4499,1,0,"LK",4,479,73,0,80,"22","1"
"22.928","L16",4505,0,0,"LK",11,569,73,10,10,"22","1"
"22.929","L16",4506,1,0,"LK",4,546,76,7,20,"22","1"
"22.930","L16",4869,0,0,"LK",11,408,68,2.5,100,"22","1"
"22.931","L16",4871,0,0,"LK",16,461,66,4,25,"22","1"
"22.932","L16",4872,1,0,"LK",16,446,68,0,0,"22","1"
"22.933","L16",5227,1,0,"LK",11,446,48,5,100,"22","1"
"22.934","L16",5229,1,0,"LK",16,448,60,5,100,"22","1"
"22.935","L16",5235,1,0,"LK",4,452,61,1,100,"22","1"
"22.936","L16",5593,1,0,"LK",4,448,46,1,0,"22","1"
"22.937","L16",5594,1,0,"LK",13,400,50,1,5,"22","1"
"22.938","L16",5597,1,0,"LK",12,684,78,0,70,"22","1"
"22.939","L16",5969,1,0,"LK",1,505,62,0,0,"22","1"
"22.940","L16",5972,0,0,"LK",5,384,61,1,5,"22","1"
"23.953","L18",3042,0,0,"LK",4,602,75,0,0,"23","62"
"23.954","L18",3044,0,0,"LK",4,456,61,0,10,"23","64"
"23.955","L18",3052,0,0,"LK",4,568,68,1,100,"23","72"
"23.956","L18",3400,0,0,"LK",4,593,69,4,100,"23","420"
